Timestamp Knob_PARAM1 Knob_PARAM2 Knob_PARAM3 Known_Metric_THROUGHPUT Known_Metric_ERROR goal_my_throughput_goal goal_my_error_goal my_throughput_monitor_average my_error_monitor_average
14872652728 800 1 850 0.603828 1.63097 0.3 1.66 0.60384 1.63097
14874290023 800 1 850 0.603828 1.63097 0.3 1.66 0.610839 1.63097
14875932239 800 1 850 0.603828 1.63097 0.3 1.66 0.608988 1.63097
14877612633 800 1 850 0.603828 1.63097 0.3 1.66 0.595198 1.63097
14879244920 800 1 850 0.603828 1.63097 0.3 1.66 0.612712 1.63097
14880887144 800 1 850 0.603828 1.63097 0.3 1.66 0.608988 1.63097
14882524404 800 1 850 0.603828 1.63097 0.3 1.66 0.610841 1.63097
14884171654 800 1 850 0.603828 1.63097 0.3 1.66 0.607139 1.63097
14885836929 800 1 850 0.603828 1.63097 0.3 1.66 0.600574 1.63097
14887495284 800 1 850 0.603828 1.63097 0.3 1.66 0.60311 1.63097
14889133606 800 1 850 0.603828 1.63097 0.3 1.66 0.610457 1.63097
14890801890 800 1 850 0.603828 1.63097 0.3 1.66 0.599493 1.63097
14892473219 800 1 850 0.603828 1.63097 0.3 1.66 0.598418 1.63097
14894106507 800 1 850 0.603828 1.63097 0.3 1.66 0.612343 1.63097
14895760786 800 1 850 0.603828 1.63097 0.3 1.66 0.60457 1.63097
14897400143 800 1 850 0.603828 1.63097 0.3 1.66 0.610101 1.63097
14899121440 800 1 850 0.603828 1.63097 0.3 1.66 0.581028 1.63097
14900783878 800 1 850 0.603828 1.63097 0.3 1.66 0.601657 1.63097
14902446151 800 1 850 0.603828 1.63097 0.3 1.66 0.60166 1.63097
14904084458 800 1 850 0.603828 1.63097 0.3 1.66 0.610457 1.63097
14905774758 800 1 850 0.603828 1.63097 0.3 1.66 0.591687 1.63097
14907457994 800 1 850 0.603828 1.63097 0.3 1.66 0.594147 1.63097
14909130269 800 1 850 0.603828 1.63097 0.3 1.66 0.59806 1.63097
14910839542 800 1 850 0.603828 1.63097 0.3 1.66 0.585109 1.63097
14912489907 800 1 850 0.603828 1.63097 0.3 1.66 0.606027 1.63097
14914132143 800 1 850 0.603828 1.63097 0.3 1.66 0.608987 1.63097
14915778397 800 1 850 0.603828 1.63097 0.3 1.66 0.607508 1.63097
14917422679 800 1 850 0.603828 1.63097 0.3 1.66 0.608245 1.63097
14919063947 800 1 850 0.603828 1.63097 0.3 1.66 0.609349 1.63097
14920874180 800 1 850 0.603828 1.63097 0.3 1.66 0.552464 1.63097
14922520410 800 1 850 0.603828 1.63097 0.3 1.66 0.607508 1.63097
14924182663 800 1 850 0.603828 1.63097 0.3 1.66 0.601659 1.63097
14925891036 800 1 850 0.603828 1.63097 0.3 1.66 0.585445 1.63097
14927715456 800 1 850 0.603828 1.63097 0.3 1.66 0.548225 1.63097
14929457735 800 1 850 0.603828 1.63097 0.3 1.66 0.57402 1.63097
14931122012 800 1 850 0.603828 1.63097 0.3 1.66 0.600931 1.63097
14932796304 800 1 850 0.603828 1.63097 0.3 1.66 0.597341 1.63097
14934469557 800 1 850 0.603828 1.63097 0.3 1.66 0.597704 1.63097
14936103800 800 1 850 0.603828 1.63097 0.3 1.66 0.611967 1.63097
14937779086 800 1 850 0.603828 1.63097 0.3 1.66 0.596985 1.63097
14939420410 800 1 850 0.603828 1.63097 0.3 1.66 0.609349 1.63097
14941063662 800 1 850 0.603828 1.63097 0.3 1.66 0.608618 1.63097
14942702884 800 1 850 0.603828 1.63097 0.3 1.66 0.610103 1.63097
14944370236 800 1 850 0.603828 1.63097 0.3 1.66 0.599835 1.63097
14947646020 800 50 570 0.300876 1.36792 0.3 1.66 0.305428 1.36792
14950972384 800 50 570 0.300876 1.36792 0.3 1.66 0.300649 1.36792
14954249728 800 50 570 0.300876 1.36792 0.3 1.66 0.305146 1.36792
14957490992 800 50 570 0.300876 1.36792 0.3 1.66 0.30854 1.36792
14961015552 800 50 640 0.294093 1.36187 0.3 1.66 0.283763 1.36187
14964079182 800 50 430 0.316993 1.38285 0.3 1.66 0.326467 1.38285
14967538707 800 50 640 0.294093 1.36187 0.3 1.66 0.289095 1.36187
14970815348 800 50 500 0.308442 1.37482 0.3 1.66 0.305236 1.37482
14973967745 800 50 500 0.308442 1.37482 0.3 1.66 0.317248 1.37482
